,Spine1,Shoulder_left,Shoulder_right,Center,Spine2,Hip_left,Hip_right,Tail_base
Train error (px),7.738391307612099,7.4939814241039775,10.858418723162844,84.06503452691098,14.455097976369393,26.023642514732778,5.058384139309205,10.569492167837739
Test error (px),14.558726463023616,5.870961335009053,3.3509126353859373,15.696910567484906,10.040127173458524,6.604316850420482,10.053729343132808,2.798305425494062
