step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,0.0010874648578464985,0.5007268190383911,0.013061903417110443,0.013061903417110443,,,,
2,,,,,0.0007837358862161636,0.4449830651283264,0.011516443453729153,0.011516443453729153,,,,
3,,,,,0.0007644689758308232,0.41049492359161377,0.010644607245922089,0.010644607245922089,,,,
4,,,,,0.0007110832375474274,0.39092084765434265,0.010128563269972801,0.010128563269972801,,,,
5,,,,,0.0007343323086388409,0.40496793389320374,0.01049136370420456,0.01049136370420456,,,,
6,,,,,0.0007147646392695606,0.37188267707824707,0.009654449298977852,0.009654449298977852,,,,
7,,,,,0.0006992103881202638,0.37424904108047485,0.009705831296741962,0.009705831296741962,,,,
8,,,,,0.000692289206199348,0.3674936592578888,0.00953348632901907,0.00953348632901907,,,,
9,,,,,0.0006572447600774467,0.3482746183872223,0.009035488590598106,0.009035488590598106,,,,
10,0.00047873452422209084,0.38509222865104675,0.00986667349934578,0.00986667349934578,0.0006513632833957672,0.3534035384654999,0.009160771034657955,0.009160771034657955,23.782728272827285,24.82758620689655,374.2646065680948,95.02977449507327
11,,,,,0.0006785883451811969,0.3590601086616516,0.009315796196460724,0.009315796196460724,,,,
12,,,,,0.0006096931756474078,0.3385128676891327,0.008767668157815933,0.008767668157815933,,,,
13,,,,,0.0006434551905840635,0.35139912366867065,0.009106705896556377,0.009106705896556377,,,,
14,,,,,0.0006249044090509415,0.33360207080841064,0.008652503602206707,0.008652503602206707,,,,
15,,,,,0.0006437661359086633,0.33405938744544983,0.008673368021845818,0.008673368021845818,,,,
16,,,,,0.0006095359567552805,0.34270408749580383,0.008872371166944504,0.008872371166944504,,,,
17,,,,,0.0006066639325581491,0.3384599983692169,0.008764832280576229,0.008764832280576229,,,,
18,,,,,0.0006143253413029015,0.3316526710987091,0.008598478510975838,0.008598478510975838,,,,
19,,,,,0.0006699713412672281,0.34546056389808655,0.008971500210464,0.008971500210464,,,,
20,0.00027798610972240567,0.371516615152359,0.009426908567547798,0.009426908567547798,0.0005622149328701198,0.310959130525589,0.008055086247622967,0.008055086247622967,34.67322831184217,35.51724137931035,373.924456222467,18.669414114444812
21,,,,,0.0005884972051717341,0.3270304501056671,0.008470009081065655,0.008470009081065655,,,,
22,,,,,0.0006168267573229969,0.3257012963294983,0.00845094583928585,0.00845094583928585,,,,
23,,,,,0.0006013309466652572,0.31568261981010437,0.008192731998860836,0.008192731998860836,,,,
24,,,,,0.0005543101578950882,0.3221377730369568,0.008330599404871464,0.008330599404871464,,,,
25,,,,,0.0006122277118265629,0.32451221346855164,0.008418918587267399,0.008418918587267399,,,,
26,,,,,0.000592776748817414,0.3235182464122772,0.008384346030652523,0.008384346030652523,,,,
27,,,,,0.0005848683649674058,0.31156840920448303,0.008081644773483276,0.008081644773483276,,,,
28,,,,,0.0005620603333227336,0.3227251470088959,0.008349158801138401,0.008349158801138401,,,,
29,,,,,0.0005615839036181569,0.31251096725463867,0.008093565702438354,0.008093565702438354,,,,
30,0.00025321851717308164,0.3434094786643982,0.008711845614016056,0.008711845614016056,0.0006114987190812826,0.31750598549842834,0.008243398740887642,0.008243398740887642,33.91397407004127,34.827586206896555,298.8471333967014,11.863959610462189
31,,,,,0.0005676907021552324,0.317657470703125,0.008225282654166222,0.008225282654166222,,,,
32,,,,,0.0005420995876193047,0.31389427185058594,0.008118406869471073,0.008118406869471073,,,,
33,,,,,0.0005514901131391525,0.3089008331298828,0.007998267188668251,0.007998267188668251,,,,
34,,,,,0.0005324053345248103,0.3080385625362396,0.007967166602611542,0.007967166602611542,,,,
35,,,,,0.0005506303859874606,0.3189895451068878,0.008250053972005844,0.008250053972005844,,,,
36,,,,,0.0005470179603435099,0.3169073462486267,0.008196192793548107,0.008196192793548107,,,,
37,,,,,0.000560988555662334,0.31253454089164734,0.008093858137726784,0.008093858137726784,,,,
38,,,,,0.0005532543291337788,0.30686497688293457,0.007948252372443676,0.007948252372443676,,,,
39,,,,,0.0005210498929955065,0.3115444481372833,0.008049136959016323,0.008049136959016323,,,,
40,0.00022333284141495824,0.34278398752212524,0.008681265637278557,0.008681265637278557,0.0005548756453208625,0.298027366399765,0.007728122640401125,0.007728122640401125,39.771054464060335,41.0344827586207,280.20178276431716,7.966431535993304
41,,,,,0.0005160800646990538,0.2951463758945465,0.007636698894202709,0.007636698894202709,,,,
42,,,,,0.0005352980806492269,0.29901570081710815,0.007743042428046465,0.007743042428046465,,,,
43,,,,,0.0005312951980158687,0.30051717162132263,0.007778577506542206,0.007778577506542206,,,,
44,,,,,0.0005272496491670609,0.29722005128860474,0.007694126106798649,0.007694126106798649,,,,
45,,,,,0.0004988183500245214,0.2852528393268585,0.00738073093816638,0.00738073093816638,,,,
46,,,,,0.000540183566045016,0.3063601553440094,0.007929095067083836,0.007929095067083836,,,,
47,,,,,0.00046937179286032915,0.2861538529396057,0.0073885321617126465,0.0073885321617126465,,,,
48,,,,,0.0005111056379973888,0.28699955344200134,0.007430541794747114,0.007430541794747114,,,,
